category,front,back,english
Verbformen,gehen,ging / ist gegangen,to go
Verbformen,sehen,sah / hat gesehen,to see
Verbformen,kommen,kam / ist gekommen,to come
Verbformen,finden,fand / hat gefunden,to find
Verbformen,nehmen,nahm / hat genommen,to take
Verbformen,geben,gab / hat gegeben,to give
Verbformen,essen,aß / hat gegessen,to eat
Verbformen,trinken,trank / hat getrunken,to drink
Verbformen,schreiben,schrieb / hat geschrieben,to write
Verbformen,lesen,las / hat gelesen,to read
Verbformen,bleiben,blieb / ist geblieben,to stay
Verbformen,laufen,lief / ist gelaufen,to run
Verbformen,fahren,fuhr / ist gefahren,to drive/go (by vehicle)
Verbformen,sprechen,sprach / hat gesprochen,to speak
Verbformen,treffen,traf / hat getroffen,to meet
Verbformen,denken,dachte / hat gedacht,to think
Verbformen,wissen,wusste / hat gewusst,to know (a fact)
Verbformen,kennen,kannte / hat gekannt,to know (a person/place)
Verbformen,bringen,brachte / hat gebracht,to bring
Verbformen,beginnen,begann / hat begonnen,to begin
Verbformen,arbeiten,arbeitete / hat gearbeitet,to work
Verbformen,leben,lebte / hat gelebt,to live
Verbformen,lernen,lernte / hat gelernt,to learn
Verbformen,spielen,spielte / hat gespielt,to play
Verbformen,fragen,fragte / hat gefragt,to ask
Verbformen,antworten,antwortete / hat geantwortet,to answer
Verbformen,machen,machte / hat gemacht,"to do, to make"
Verbformen,kaufen,kaufte / hat gekauft,to buy
Verbformen,verkaufen,verkaufte / hat verkauft,to sell
Verbformen,erklären,erklärte / hat erklärt,to explain
Verbformen,besuchen,besuchte / hat besucht,to visit
Verbformen,bezahlen,bezahlte / hat bezahlt,to pay
Verbformen,vergessen,vergaß / hat vergessen,to forget
Verbformen,verlieren,verlor / hat verloren,to lose
Verbformen,helfen,half / hat geholfen,to help
Verbformen,stehen,stand / hat gestanden,to stand
Verbformen,liegen,lag / hat gelegen,to lie (down)
Verbformen,sitzen,saß / hat gesessen,to sit
Verbformen,ziehen,zog / hat gezogen,to pull
Verbformen,schlafen,schlief / hat geschlafen,to sleep
Verbformen,fliegen,flog / ist geflogen,to fly
Verbformen,steigen,stieg / ist gestiegen,to climb
Verbformen,scheinen,schien / hat geschienen,to shine/seem
Verbformen,beginnen,begann / hat begonnen,to begin
Verbformen,rennen,rannte / ist gerannt,to run (sprint)
Verbformen,bringen,brachte / hat gebracht,to bring
Verbformen,denken,dachte / hat gedacht,to think
Verbformen,tun,tat / hat getan,to do
Verbformen,passen,passte / hat gepasst,to fit
Verbformen,reisen,reiste / ist gereist,to travel
Verbformen,bitten,bat / hat gebeten,to request
Verbformen,empfehlen,empfahl / hat empfohlen,to recommend
Verbformen,halten,hielt / hat gehalten,to hold/stop
Verbformen,lassen,ließ / hat gelassen,to let/leave
Verbformen,reiten,ritt / ist geritten,to ride (horse)
Verbformen,rufen,rief / hat gerufen,to call
Verbformen,scheiden,schied / ist geschieden,to separate/divorce
Verbformen,schließen,schloss / hat geschlossen,to close
Verbformen,vergessen,vergaß / hat vergessen,to forget
Verbformen,versprechen,versprach / hat versprochen,to promise
Verbformen,aufstehen,stand auf / ist aufgestanden,to get up
Verbformen,einkaufen,kaufte ein / hat eingekauft,to shop
Verbformen,aussehen,sah aus / hat ausgesehen,to look/appear
Verbformen,mitbringen,brachte mit / hat mitgebracht,to bring along
Verbformen,fernsehen,sah fern / hat ferngesehen,to watch TV
Verbformen,abfahren,fuhr ab / ist abgefahren,to depart
Verbformen,anrufen,rief an / hat angerufen,to call (on the phone)
Verbformen,aufhören,hörte auf / hat aufgehört,to stop
Verbformen,zurückkommen,kam zurück / ist zurückgekommen,to come back
Verbformen,vorbereiten,bereitete vor / hat vorbereitet,to prepare
Körper Artikeln,Mund,Der Mund,the mouth
Körper Artikeln,Auge,Das Auge,the eye
Körper Artikeln,Ohr,Das Ohr,the ear
Körper Artikeln,Nase,Die Nase,the nose
Körper Artikeln,Kopf,Der Kopf,the head
Körper Artikeln,Hals,Der Hals,the neck
Körper Artikeln,Arm,Der Arm,the arm
Körper Artikeln,Ellbogen,Der Ellbogen,the elbow
Körper Artikeln,Hand,Die Hand,the hand
Körper Artikeln,Finger,Der Finger,the finger
Körper Artikeln,Bein,Das Bein,the leg
Körper Artikeln,Knie,Das Knie,the knee
Körper Artikeln,Fuß,Der Fuß,the foot
Körper Artikeln,Rücken,Der Rücken,the back
Körper Artikeln,Bauch,Der Bauch,the belly
Körper Artikeln,Brust,Die Brust,the chest
Körper Artikeln,Zahn,Der Zahn,the tooth
Körper Artikeln,Zunge,Die Zunge,the tongue
Körper Artikeln,Gesicht,Das Gesicht,the face
Körper Artikeln,Haut,Die Haut,the skin
Körper Artikeln,Haare,Die Haare,the hair
Körper Artikeln,Herz,Das Herz,the heart
Körper Artikeln,Lunge,Die Lunge,the lung
Körper Artikeln,Leber,Die Leber,the liver
Körper Artikeln,Muskel,Der Muskel,the muscle
Körper Artikeln,Blut,Das Blut,the blood
Körper Artikeln,Nagel,Der Nagel,the nail
Körper Artikeln,Zehe,Die Zehe,the toe
Körper Artikeln,Kinn,Das Kinn,the chin
Körper Artikeln,Stirn,Die Stirn,the forehead
Körper Artikeln,Wange,Die Wange,the cheek
Körper Artikeln,Wirbelsäule,Die Wirbelsäule,the spine
Körper Artikeln,Po,Der Po,the butt
Körper Artikeln,Schulter,Die Schulter,the shoulder
Körper Artikeln,Hüfte,Die Hüfte,the hip
Zuhause Artikeln,Tisch,Der Tisch,the table
Zuhause Artikeln,Stuhl,Der Stuhl,the chair
Zuhause Artikeln,Fenster,Das Fenster,the window
Zuhause Artikeln,Tür,Die Tür,the door
Zuhause Artikeln,Lampe,Die Lampe,the lamp
Zuhause Artikeln,Bett,Das Bett,the bed
Zuhause Artikeln,Sofa,Das Sofa,the couch
Zuhause Artikeln,Teppich,Der Teppich,the carpet
Zuhause Artikeln,Spiegel,Der Spiegel,the mirror
Zuhause Artikeln,Schrank,Der Schrank,the wardrobe
Zuhause Artikeln,Kühlschrank,Der Kühlschrank,the fridge
Zuhause Artikeln,Herd,Der Herd,the stove
Zuhause Artikeln,Ofen,Der Ofen,the oven
Zuhause Artikeln,Mikrowelle,Die Mikrowelle,the microwave
Zuhause Artikeln,Waschmaschine,Die Waschmaschine,the washing machine
Zuhause Artikeln,Badewanne,Die Badewanne,the bathtub
Zuhause Artikeln,Dusche,Die Dusche,the shower
Zuhause Artikeln,Spüle,Die Spüle,the sink
Zuhause Artikeln,Vorhang,Der Vorhang,the curtain
Zuhause Artikeln,Regal,Das Regal,the shelf
Feiertage Artikeln,Weihnachten,Das Weihnachten,Christmas
Feiertage Artikeln,Ostern,Das Ostern,Easter
Feiertage Artikeln,Silvester,Das Silvester,New Year's Eve
Feiertage Artikeln,Geburtstag,Der Geburtstag,birthday
Feiertage Artikeln,Geschenk,Das Geschenk,the present
Feiertage Artikeln,Feuerwerk,Das Feuerwerk,fireworks
Feiertage Artikeln,Karneval,Der Karneval,carnival
Feiertage Artikeln,Advent,Der Advent,Advent
Feiertage Artikeln,Nikolaus,Der Nikolaus,Saint Nicholas
Feiertage Artikeln,Fest,Das Fest,celebration
Feiertage Artikeln,Familienfeier,Die Familienfeier,family celebration
Feiertage Artikeln,Urlaub,Der Urlaub,vacation
Feiertage Artikeln,Reise,Die Reise,trip
Feiertage Artikeln,Hotel,Das Hotel,the hotel
Feiertage Artikeln,Buchung,Die Buchung,the booking
Feiertage Artikeln,Pass,Der Pass,the passport
Feiertage Artikeln,Flughafen,Der Flughafen,the airport
Feiertage Artikeln,Koffer,Der Koffer,the suitcase
Feiertage Artikeln,Zugticket,Das Zugticket,the train ticket
Feiertage Artikeln,Souvenir,Das Souvenir,the souvenir
Essen Artikeln,Apfel,Der Apfel,the apple
Essen Artikeln,Brot,Das Brot,the bread
Essen Artikeln,Käse,Der Käse,the cheese
Essen Artikeln,Milch,Die Milch,the milk
Essen Artikeln,Wurst,Die Wurst,the sausage
Essen Artikeln,Butter,Die Butter,the butter
Essen Artikeln,Ei,Das Ei,the egg
Essen Artikeln,Fisch,Der Fisch,the fish
Essen Artikeln,Fleisch,Das Fleisch,the meat
Essen Artikeln,Nudeln,Die Nudeln,the pasta
Essen Artikeln,Reis,Der Reis,the rice
Essen Artikeln,Gemüse,Das Gemüse,the vegetables
Essen Artikeln,Obst,Das Obst,the fruit
Essen Artikeln,Salat,Der Salat,the salad
Essen Artikeln,Wasser,Das Wasser,the water
Essen Artikeln,Saft,Der Saft,the juice
Essen Artikeln,Zucker,Der Zucker,the sugar
Essen Artikeln,Salz,Das Salz,the salt
Essen Artikeln,Pfeffer,Der Pfeffer,the pepper
Essen Artikeln,Messer,Das Messer,the knife
Gesundheit Artikeln,Krankheit,Die Krankheit,the illness
Gesundheit Artikeln,Tablette,Die Tablette,the pill
Gesundheit Artikeln,Fieber,Das Fieber,the fever
Gesundheit Artikeln,Rezept,Das Rezept,the prescription
Gesundheit Artikeln,Untersuchung,Die Untersuchung,the examination
Gesundheit Artikeln,Arzt,Der Arzt,the doctor
Gesundheit Artikeln,Ärztin,Die Ärztin,the (female) doctor
Gesundheit Artikeln,Krankenhaus,Das Krankenhaus,the hospital
Gesundheit Artikeln,Spritze,Die Spritze,the injection
Gesundheit Artikeln,Wunde,Die Wunde,the wound
Gesundheit Artikeln,Verband,Der Verband,the bandage
Gesundheit Artikeln,Salbe,Die Salbe,the ointment
Gesundheit Artikeln,Operation,Die Operation,the surgery
Gesundheit Artikeln,Notaufnahme,Die Notaufnahme,the emergency room
Gesundheit Artikeln,Krücke,Die Krücke,the crutch
